#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"Registry","0","0","20627456","19951616","20054016","6936",,,"0.21875",,,,,"Process","8",,,,,,"0","92",".","0","",,,,,"6936","6936","20054016","20054016","44512","44512","20054016","20054016","28123136","28123136","28360704","28360704",,,"20054016","20054016","00:00:00.2187500","Registry",,"True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:40:52 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2187500","00:00:00","20627456","20627456","False",,,,"19951616","19951616",,
"services","0","224","2203383275520","7454720","2220032","8584",,,"0.390625",,,,,"Process","9",,,,,,"224","660",".","0","",,,,,"8584","8584","2220032","2220032","72344","72344","3067904","3067904","7983104","7983104","69025792","2203387248640",,,"2220032","2220032","00:00:00.3437500","services",,"True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3906250","00:00:00.0468750","65052672","2203383275520","False",,,,"7454720","7454720",,
"smss","0","56","2203359850496","1249280","475136","3496",,,"1.140625",,,,,"Process","11",,,,,,"56","336",".","0","",,,,,"3496","3496","475136","475136","13528","13528","581632","581632","1273856","1273856","50372608","2203368595456",,,"475136","475136","00:00:01.1406250","smss",,"True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:12 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.1406250","00:00:00","41627648","2203359850496","False",,,,"1249280","1249280",,
"svchost","0","205","2203409006592","9887744","3760128","10240","X:\windows\system32\svchost.exe","Microsoft Corporation","0.109375","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Host Process for Windows Services","Microsoft® Windows® Operating System","Process","8",,"False",,"2748","Microsoft.Win32.SafeHandles.SafeProcessHandle","205","376",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10240","10240","3760128","3760128","67496","67496","3760128","3760128","9887744","9887744","90861568","2203409084416","True","Normal","3760128","3760128","00:00:00.1093750","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:15 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1093750","00:00:00","90783744","2203409006592","False",,,,"9887744","9887744",,
"svchost","0","790","2203462090752","32653312","20156416","24584","X:\windows\System32\svchost.exe","Microsoft Corporation","6.296875","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Host Process for Windows Services","Microsoft® Windows® Operating System","Process","8",,"False",,"2440","Microsoft.Win32.SafeHandles.SafeProcessHandle","790","392",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","24584","24584","20156416","20156416","148696","148696","35536896","35536896","44617728","44617728","333934592","2203652157440","True","Normal","20156416","20156416","00:00:02.2187500","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:15 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:06.2968750","00:00:04.0781250","143867904","2203462090752","False",,,,"32653312","32653312",,
"svchost","0","106","2203387297792","6098944","1236992","7744","X:\windows\system32\svchost.exe","Microsoft Corporation","0.015625","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Host Process for Windows Services","Microsoft® Windows® Operating System","Process","8",,"False",,"2304","Microsoft.Win32.SafeHandles.SafeProcessHandle","106","460",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","7744","7744","1236992","1236992","62096","62096","1454080","1454080","6160384","6160384","73908224","2203392131072","True","Normal","1236992","1236992","00:00:00.0156250","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:15 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","69074944","2203387297792","False",,,,"6098944","6098944",,
"svchost","0","333","2203402870784","9576448","2375680","12888","X:\windows\system32\svchost.exe","Microsoft Corporation","0.078125","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Host Process for Windows Services","Microsoft® Windows® Operating System","Process","8",,"False",,"900","Microsoft.Win32.SafeHandles.SafeProcessHandle","333","828",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12888","12888","2375680","2375680","136392","136392","2691072","2691072","9691136","9691136","89366528","2203407589376","True","Normal","2375680","2375680","00:00:00.0781250","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0781250","00:00:00","84647936","2203402870784","False",,,,"9576448","9576448",,
"svchost","0","280","2203389689856","7348224","1933312","14408","X:\windows\system32\svchost.exe","Microsoft Corporation","0.125","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Host Process for Windows Services","Microsoft® Windows® Operating System","Process","8",,"False",,"2952","Microsoft.Win32.SafeHandles.SafeProcessHandle","280","924",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14408","14408","1933312","1933312","71448","71448","2052096","2052096","7368704","7368704","73564160","2203391787008","True","Normal","1933312","1933312","00:00:00.0937500","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1250000","00:00:00.0312500","71467008","2203389689856","False",,,,"7348224","7348224",,
"svchost","0","268","2203398193152","9281536","2498560","11600","X:\windows\System32\svchost.exe","Microsoft Corporation","0.171875","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Host Process for Windows Services","Microsoft® Windows® Operating System","Process","8",,"False",,"2852","Microsoft.Win32.SafeHandles.SafeProcessHandle","268","1008",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","11600","11600","2498560","2498560","87896","87896","2936832","2936832","9371648","9371648","85737472","2203403960320","True","Normal","2498560","2498560","00:00:00.1562500","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1718750","00:00:00.0156250","79970304","2203398193152","False",,,,"9281536","9281536",,
"svchost","0","106","2203384471552","6033408","1568768","9208","X:\windows\system32\svchost.exe","Microsoft Corporation","0","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Host Process for Windows Services","Microsoft® Windows® Operating System","Process","8",,"False",,"3136","Microsoft.Win32.SafeHandles.SafeProcessHandle","106","1220",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9208","9208","1568768","1568768","58616","58616","1843200","1843200","6127616","6127616","70443008","2203388665856","True","Normal","1568768","1568768","00:00:00","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:15 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00","00:00:00","66248704","2203384471552","False",,,,"6033408","6033408",,
"svchost","0","246","2203419754496","9076736","3227648","14944","X:\windows\system32\svchost.exe","Microsoft Corporation","0.03125","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Host Process for Windows Services","Microsoft® Windows® Operating System","Process","8",,"False",,"2248","Microsoft.Win32.SafeHandles.SafeProcessHandle","246","1312",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14944","14944","3227648","3227648","82824","82824","3301376","3301376","9080832","9080832","102539264","2203420762112","True","Normal","3227648","3227648","00:00:00.0156250","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:16 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00.0156250","101531648","2203419754496","False",,,,"9076736","9076736",,
"svchost","0","302","2203405746176","10067968","2908160","30128","X:\windows\system32\svchost.exe","Microsoft Corporation","0.09375","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Host Process for Windows Services","Microsoft® Windows® Operating System","Process","8",,"False",,"2268","Microsoft.Win32.SafeHandles.SafeProcessHandle","302","1372",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","30128","30128","2908160","2908160","101728","101728","3125248","3125248","10153984","10153984","94105600","2203412328448","True","Normal","2908160","2908160","00:00:00.0937500","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:16 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0937500","00:00:00","87523328","2203405746176","False",,,,"10067968","10067968",,
"svchost","0","163","2203395166208","6782976","1564672","9456","X:\windows\System32\svchost.exe","Microsoft Corporation","0.046875","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Host Process for Windows Services","Microsoft® Windows® Operating System","Process","8",,"False",,"3052","Microsoft.Win32.SafeHandles.SafeProcessHandle","163","1444",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9456","9456","1564672","1564672","74968","74968","1708032","1708032","6782976","6782976","77996032","2203396218880","True","Normal","1564672","1564672","00:00:00.0156250","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:16 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468750","00:00:00.0312500","76943360","2203395166208","False",,,,"6782976","6782976",,
"svchost","0","314","2203493613568","10653696","3133440","21680","X:\windows\system32\svchost.exe","Microsoft Corporation","1.390625","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Host Process for Windows Services","Microsoft® Windows® Operating System","Process","8",,"False",,"3168","Microsoft.Win32.SafeHandles.SafeProcessHandle","314","1904",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","21680","21680","3133440","3133440","94464","94464","14069760","14069760","22896640","22896640","224915456","2203543138304","True","Normal","3133440","3133440","00:00:00.7500000","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:42:25 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.3906250","00:00:00.6406250","175390720","2203493613568","False",,,,"10653696","10653696",,
"System","0","2134","2191360","98304","32768","272",,,"28.28125",,,,,"Process","8",,,,,,"2134","4",".","0","",,,,,"272","272","32768","32768","0","0","32768","32768","1548288","1548288","3637248","3637248",,,"32768","32768","00:00:28.2812500","System",,"True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:12 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:28.2812500","00:00:00","2191360","2191360","False",,,,"98304","98304",,
"TsBootShell","1","179","2203448995840","11669504","2633728","12160","X:\sms\bin\x64\TsBootShell.exe","Microsoft Corporation","0.125","5.00.9122.1000","5.00.9122.1000","tsbootshell.exe","Microsoft Configuration Manager","Process","8",,"False",,"2368","Microsoft.Win32.SafeHandles.SafeProcessHandle","179","716",".","0","","System.Diagnostics.ProcessModule (TsBootShell.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12160","12160","2633728","2633728","177952","177952","3616768","3616768","11706368","11706368","134971392","2203453194240","True","Normal","2633728","2633728","00:00:00.1250000","TsBootShell","3","True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:15 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1250000","00:00:00","130772992","2203448995840","False",,,,"11669504","11669504",,
"TsmBootstrap","1","193","2203456905216","14196736","4071424","15592","X:\sms\bin\x64\TsmBootstrap.exe","Microsoft Corporation","0.140625","5.00.9122.1000","5.00.9122.1000","TSMBootstrap.exe","Microsoft Configuration Manager","Process","8",,"False",,"2696","Microsoft.Win32.SafeHandles.SafeProcessHandle","193","1676",".","131156","Task Sequence Wizard","System.Diagnostics.ProcessModule (TsmBootstrap.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15592","15592","4071424","4071424","185528","185528","5767168","5767168","15261696","15261696","140779520","2203459002368","True","Normal","4071424","4071424","00:00:00.1250000","TsmBootstrap","3","True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:17 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1406250","00:00:00.0156250","138682368","2203456905216","False",,,,"14196736","14196736",,
"WallpaperHost","1","199","2203462385664","16470016","5210112","11824","X:\windows\system32\WallpaperHost.exe","Microsoft Corporation","0.125","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Wallpaper Host Process","Microsoft® Windows® Operating System","Process","8",,"False",,"2284","Microsoft.Win32.SafeHandles.SafeProcessHandle","199","796",".","65570","","System.Diagnostics.ProcessModule (WallpaperHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","11824","11824","5210112","5210112","189024","189024","8327168","8327168","18874368","18874368","147275776","2203465498624","True","Normal","5210112","5210112","00:00:00.1093750","WallpaperHost","3","True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:15 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1250000","00:00:00.0156250","144162816","2203462385664","False",,,,"16470016","16470016",,
"wininit","0","109","2203387076608","6426624","1220608","7736",,,"0.03125",,,,,"Process","13",,,,,,"109","568",".","0","",,,,,"7736","7736","1220608","1220608","66608","66608","1769472","1769472","6537216","6537216","86798336","2203405021184",,,"1220608","1220608","00:00:00.0312500","wininit",,"True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00","68853760","2203387076608","False",,,,"6426624","6426624",,
"winlogon","1","157","2203453550592","8884224","1769472","10800","X:\windows\system32\winlogon.exe","Microsoft Corporation","0.21875","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Windows Logon Application","Microsoft® Windows® Operating System","Process","13",,"False",,"2084","Microsoft.Win32.SafeHandles.SafeProcessHandle","157","668",".","0","","System.Diagnostics.ProcessModule (winlogon.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10800","10800","1769472","1769472","124168","124168","6180864","6180864","14639104","14639104","146948096","2203465170944","True","High","1769472","1769472","00:00:00.0781250","winlogon","3","True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2187500","00:00:00.1406250","135327744","2203453550592","False",,,,"8884224","8884224",,
"winpeshl","1","124","2203417591808","7069696","2547712","9224","X:\windows\system32\winpeshl.exe","Microsoft Corporation","0.234375","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","WinPE Shell","Microsoft® Windows® Operating System","Process","8",,"False",,"3032","Microsoft.Win32.SafeHandles.SafeProcessHandle","124","360",".","0","","System.Diagnostics.ProcessModule (winpeshl.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9224","9224","2547712","2547712","122808","122808","4784128","4784128","8998912","8998912","101912576","2203420135424","True","Normal","2547712","2547712","00:00:00.0937500","winpeshl","3","True","1","System.Diagnostics.ProcessStartInfo","8/8/2024 1:41:15 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2343750","00:00:00.1406250","99368960","2203417591808","False",,,,"7069696","7069696",,
"WmiPrvSE","0","184","2203410927616","13455360","7184384","11560","X:\windows\system32\wbem\wmiprvse.exe","Microsoft Corporation","1.03125","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","WMI Provider Host","Microsoft® Windows® Operating System","Process","8",,"False",,"2524","Microsoft.Win32.SafeHandles.SafeProcessHandle","184","2228",".","0","","System.Diagnostics.ProcessModule (wmiprvse.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","11560","11560","7184384","7184384","79088","79088","14991360","14991360","21594112","21594112","97783808","2203416006656","True","Normal","7184384","7184384","00:00:00.1875000","WmiPrvSE","3","True","0","System.Diagnostics.ProcessStartInfo","8/8/2024 1:42:51 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.0312500","00:00:00.8437500","92704768","2203410927616","False",,,,"13455360","13455360",,
